RoomId;RoomLabel;RoomName;RoomType;Direction;;;;
0000001;undefined;U01;Hall (Basement);;;;;
0000002;undefined;U02;Hallway (Left);West;;;;
0000183;undefined;U02;Hallway (Up);North;;;;
0000003;undefined;U03;Storage Room;North;;;;
0000004;BioLab;U04;Laboratory;;;;;
0000005;BioLab;U04B;Laboratory;;;;;
0000006;undefined;U05;Storage;East;;;;
0000007;undefined;U07;Plastics;West;;;;
0000008;undefined;U08;Telecommunications;;;;;
0000009;undefined;U08A;Computer Network Technology;;;;;
0000010;undefined;U08B;Network Technology;;;;;
0000011;undefined;U10;IT Room;;;;;
0000012;undefined;U11;Teachers Restroom;;;;;
0000013;undefined;U14;Womens Restroom;;;;;
0000014;undefined;U16;Disabled Restroom;;;;;
0000015;undefined;U26;Shelter;South;;;;
0000016;undefined;U39;Hallway (Up);North;;;;
0000184;undefined;U39;Hallway (Left);West;;;;
0000017;undefined;U41;Shelter;East;;;;
0000018;undefined;U58;Changing Room;West;;;;
0000019;undefined;U66;Women?s Restroom;;;;;
0000020;undefined;U64;Men?s Restroom;;;;;
0000021;undefined;U70;Radio Station;;;;;
0000022;undefined;U71;High Frequency;;;;;
0000023;undefined;U72;Technical Informatics;;;;;
0000024;undefined;U73;Control Technology;North;;;;
0000025;undefined;U74;Electrical Device Manufacturing;South;;;;
0000026;undefined;U77;HF Technology;;;;;
0000027;undefined;U78;Print Manufacturing;;;;;
0000028;undefined;U79;Welding;;;;;
0000029;undefined;U81;Control Engineering;;;;;
0000030;undefined;U82A;Computer Room1;;;;;
0000031;undefined;U82B;Computer Room2;;;;;
0000032;undefined;U83;Low-Frequency Technology;;;;;
0000033;undefined;U84A;Electrical Installation;;;;;
0000034;undefined;U84B;Basic Electrical Training;;;;;
0000035;undefined;U85;Electronics B;;;;;
0000036;undefined;U86A;Work Preparation;;;;;
0000037;undefined;U86B;Programming;;;;;
0000038;undefined;U87;Precision Engineering;;;;;
0000039;undefined;U88;Mechanics;;;;;
0000040;undefined;U89;Basic Mechanical Training;;;;;
0000041;undefined;U90;Magazine;;;;;
0000042;undefined;U91;Workshop Manager;;;;;
0000043;undefined;U92;Teachers Lounge;;;;;
0000046;undefined;E02;Hall (Ground Floor);;;;;
0000047;undefined;E03;School Caretaker;;;;;
0000048;undefined;E04;Hallway (Left);West;;;;
0000185;undefined;E04;Hallway (Down);South;;;;
0000049;undefined;E05;Teachers Lounge;North;;;;
0000050;undefined;E06;Teachers Lounge;;;;;
0000051;Marie Curie;E07;Chemistry Room;;;;;
0000052;undefined;E08;Teachers Lounge;;;;;
0000053;Lise Meitner;E09;Physics Room;;;;;
0000054;undefined;E10;Classroom;;;;;
0000055;undefined;E11;Classroom;;;;;
0000056;undefined;E13;Men?s Restroom;;;;;
0000057;undefined;E16;Teachers? Restroom;;;;;
0000058;undefined;E18;Disabled Restroom;South;;;;
0000059;undefined;E19;Cleaning Closet;West;;;;
0000060;undefined;E20;Women?s Restroom;;;;;
0000061;undefined;E22;Classroom;;;;;
0000062;undefined;E23;Classroom;;;;;
0000063;undefined;E24;Classroom;;;;;
0000064;undefined;E25;Classroom;;;;;
0000065;undefined;E26;Classroom;East;;;;
0000066;undefined;E30;Hallway (Up);North;;;;
0000186;undefined;E30;Hallway (right);East;;;;
0000067;undefined;E31;Teachers Lounge;West;;;;
